video_id,source,arm,protocol,repeat_index,frame_position,baseline_allocated_bytes,peak_allocated_bytes,incremental_peak_bytes
AVAD/V39_Guitar4,AVAD,tome_r5,batch16,9,,107059200,177568768,70509568
AVAD/V39_Guitar4,AVAD,tome_r10,batch16,0,,107059200,174842880,67783680
AVAD/V39_Guitar4,AVAD,tome_r10,batch16,1,,107059200,174842880,67783680
AVAD/V39_Guitar4,AVAD,tome_r10,batch16,2,,107059200,174842880,67783680
AVAD/V39_Guitar4,AVAD,tome_r10,batch16,3,,107059200,174842880,67783680
AVAD/V39_Guitar4,AVAD,tome_r10,batch16,4,,107059200,174842880,67783680
AVAD/V39_Guitar4,AVAD,tome_r10,batch16,5,,107059200,174842880,67783680
AVAD/V39_Guitar4,AVAD,tome_r10,batch16,6,,107059200,174842880,67783680
AVAD/V39_Guitar4,AVAD,tome_r10,batch16,7,,107059200,174842880,67783680
AVAD/V39_Guitar4,AVAD,tome_r10,batch16,8,,107059200,174842880,67783680
AVAD/V39_Guitar4,AVAD,tome_r10,batch16,9,,107059200,174842880,67783680
AVAD/V39_Guitar4,AVAD,tome_r15,batch16,0,,107059200,171899904,64840704
AVAD/V39_Guitar4,AVAD,tome_r15,batch16,1,,107059200,171899904,64840704
AVAD/V39_Guitar4,AVAD,tome_r15,batch16,2,,107059200,171899904,64840704
AVAD/V39_Guitar4,AVAD,tome_r15,batch16,3,,107059200,171899904,64840704
AVAD/V39_Guitar4,AVAD,tome_r15,batch16,4,,107059200,171899904,64840704
AVAD/V39_Guitar4,AVAD,tome_r15,batch16,5,,107059200,171899904,64840704
AVAD/V39_Guitar4,AVAD,tome_r15,batch16,6,,107059200,171899904,64840704
AVAD/V39_Guitar4,AVAD,tome_r15,batch16,7,,107059200,171899904,64840704
AVAD/V39_Guitar4,AVAD,tome_r15,batch16,8,,107059200,171899904,64840704
