policy,video_id,source,clip_index,frames,cold_first_batch,single_execution_seconds,attn_mode,generation_autocast,cuda_version,gpu_name,parameter_dtype,timing_scope
human_k16_seed440828,Coutrot_db2/clip12,Coutrot_db2,4,16,False,0.3917168602347374,sdpa,,13.0,NVIDIA RTX A2000 12GB,float32,"Single execution wall time per batch: normalized RGB already on device, model.generate plus mask construction, CUDA synchronized. No warmup/repetition; first batch is cold. Excludes load/normalization/copy. Not a latency benchmark."
human_k16_seed440828,Coutrot_db2/clip9,Coutrot_db2,5,16,False,0.376878728158772,sdpa,,13.0,NVIDIA RTX A2000 12GB,float32,"Single execution wall time per batch: normalized RGB already on device, model.generate plus mask construction, CUDA synchronized. No warmup/repetition; first batch is cold. Excludes load/normalization/copy. Not a latency benchmark."
human_k16_seed440828,DIEM/home_movie_Charlie_bit_my_finger_again_960x720,DIEM,6,16,False,0.3763812901452184,sdpa,,13.0,NVIDIA RTX A2000 12GB,float32,"Single execution wall time per batch: normalized RGB already on device, model.generate plus mask construction, CUDA synchronized. No warmup/repetition; first batch is cold. Excludes load/normalization/copy. Not a latency benchmark."
human_k16_seed440828,DIEM/scottish_parliament_1152x864,DIEM,7,16,False,0.378968364559114,sdpa,,13.0,NVIDIA RTX A2000 12GB,float32,"Single execution wall time per batch: normalized RGB already on device, model.generate plus mask construction, CUDA synchronized. No warmup/repetition; first batch is cold. Excludes load/normalization/copy. Not a latency benchmark."
human_k16_seed440828,ETMD_av/CRA_1_color,ETMD_av,8,16,False,0.38242724910378456,sdpa,,13.0,NVIDIA RTX A2000 12GB,float32,"Single execution wall time per batch: normalized RGB already on device, model.generate plus mask construction, CUDA synchronized. No warmup/repetition; first batch is cold. Excludes load/normalization/copy. Not a latency benchmark."
human_k16_seed440828,ETMD_av/CRA_2_color,ETMD_av,9,16,False,0.3809106908738613,sdpa,,13.0,NVIDIA RTX A2000 12GB,float32,"Single execution wall time per batch: normalized RGB already on device, model.generate plus mask construction, CUDA synchronized. No warmup/repetition; first batch is cold. Excludes load/normalization/copy. Not a latency benchmark."
human_k16_seed440828,SumMe/Kids_playing_in_leaves,SumMe,10,16,False,0.38421383313834667,sdpa,,13.0,NVIDIA RTX A2000 12GB,float32,"Single execution wall time per batch: normalized RGB already on device, model.generate plus mask construction, CUDA synchronized. No warmup/repetition; first batch is cold. Excludes load/normalization/copy. Not a latency benchmark."
human_k16_seed440828,SumMe/Paintball,SumMe,11,16,False,0.3820426519960165,sdpa,,13.0,NVIDIA RTX A2000 12GB,float32,"Single execution wall time per batch: normalized RGB already on device, model.generate plus mask construction, CUDA synchronized. No warmup/repetition; first batch is cold. Excludes load/normalization/copy. Not a latency benchmark."
human_k16_seed440829,AVAD/V39_Guitar4,AVAD,0,16,True,0.38958616741001606,sdpa,,13.0,NVIDIA RTX A2000 12GB,float32,"Single execution wall time per batch: normalized RGB already on device, model.generate plus mask construction, CUDA synchronized. No warmup/repetition; first batch is cold. Excludes load/normalization/copy. Not a latency benchmark."
human_k16_seed440829,AVAD/V40_Guitar5,AVAD,1,16,False,0.3820036705583334,sdpa,,13.0,NVIDIA RTX A2000 12GB,float32,"Single execution wall time per batch: normalized RGB already on device, model.generate plus mask construction, CUDA synchronized. No warmup/repetition; first batch is cold. Excludes load/normalization/copy. Not a latency benchmark."
human_k16_seed440829,Coutrot_db1/clip21,Coutrot_db1,2,16,False,0.3924683164805174,sdpa,,13.0,NVIDIA RTX A2000 12GB,float32,"Single execution wall time per batch: normalized RGB already on device, model.generate plus mask construction, CUDA synchronized. No warmup/repetition; first batch is cold. Excludes load/normalization/copy. Not a latency benchmark."
human_k16_seed440829,Coutrot_db1/clip36,Coutrot_db1,3,16,False,0.38847763556987047,sdpa,,13.0,NVIDIA RTX A2000 12GB,float32,"Single execution wall time per batch: normalized RGB already on device, model.generate plus mask construction, CUDA synchronized. No warmup/repetition; first batch is cold. Excludes load/normalization/copy. Not a latency benchmark."
human_k16_seed440829,Coutrot_db2/clip12,Coutrot_db2,4,16,False,0.3893291028216481,sdpa,,13.0,NVIDIA RTX A2000 12GB,float32,"Single execution wall time per batch: normalized RGB already on device, model.generate plus mask construction, CUDA synchronized. No warmup/repetition; first batch is cold. Excludes load/normalization/copy. Not a latency benchmark."
human_k16_seed440829,Coutrot_db2/clip9,Coutrot_db2,5,16,False,0.3837857749313116,sdpa,,13.0,NVIDIA RTX A2000 12GB,float32,"Single execution wall time per batch: normalized RGB already on device, model.generate plus mask construction, CUDA synchronized. No warmup/repetition; first batch is cold. Excludes load/normalization/copy. Not a latency benchmark."
human_k16_seed440829,DIEM/home_movie_Charlie_bit_my_finger_again_960x720,DIEM,6,16,False,0.3827198501676321,sdpa,,13.0,NVIDIA RTX A2000 12GB,float32,"Single execution wall time per batch: normalized RGB already on device, model.generate plus mask construction, CUDA synchronized. No warmup/repetition; first batch is cold. Excludes load/normalization/copy. Not a latency benchmark."
