video_id,source,arm,group,cls_cosine_distance,cls_relative_l2,patch_embedding_flops,encoder_matmul_flops,matching_dot_product_flops,final_patch_tokens,encoder_and_matching_matmul_flops
AVAD/V40_Guitar5,AVAD,policy:pretrained_k16,pretrained,0.6438632607460022,1.112588882446289,115605504,1015547904,0,16,1015547904
AVAD/V40_Guitar5,AVAD,tome_r5,tome,0.02277197316288948,0.20853514969348907,115605504,7902465024,11016832,136,7913481856
AVAD/V40_Guitar5,AVAD,tome_r10,tome,0.10371256619691849,0.4512954354286194,115605504,6447581184,8091904,76,6455673088
AVAD/V40_Guitar5,AVAD,tome_r15,tome,0.27198174595832825,0.7400100827217102,115605504,5031558144,5976192,16,5037534336
AVAD/V40_Guitar5,AVAD,spatial_block_r15,spatial_block_r15,0.009524472057819366,0.1359931379556656,115605504,8652201984,3354624,196,8655556608
Coutrot_db1/clip21,Coutrot_db1,dense,dense,5.960464477539063e-08,0.0,115605504,9396209664,0,196,9396209664
Coutrot_db1/clip21,Coutrot_db1,central_k16,central_k16,0.4497380554676056,0.9399423599243164,115605504,1015547904,0,16,1015547904
Coutrot_db1/clip21,Coutrot_db1,random_k16_seed2026090900,random,0.3993237614631653,0.8828936219215393,115605504,1015547904,0,16,1015547904
Coutrot_db1/clip21,Coutrot_db1,random_k16_seed2026090901,random,0.42341774702072144,0.9123752117156982,115605504,1015547904,0,16,1015547904
Coutrot_db1/clip21,Coutrot_db1,random_k16_seed2026090902,random,0.4132983088493347,0.9044195413589478,115605504,1015547904,0,16,1015547904
Coutrot_db1/clip21,Coutrot_db1,random_k16_seed2026090903,random,0.42924293875694275,0.9210014343261719,115605504,1015547904,0,16,1015547904
Coutrot_db1/clip21,Coutrot_db1,random_k16_seed2026090904,random,0.404741495847702,0.8908071517944336,115605504,1015547904,0,16,1015547904
Coutrot_db1/clip21,Coutrot_db1,random_k16_seed2026090905,random,0.425015389919281,0.9130171537399292,115605504,1015547904,0,16,1015547904
Coutrot_db1/clip21,Coutrot_db1,random_k16_seed2026090906,random,0.4241289794445038,0.9133122563362122,115605504,1015547904,0,16,1015547904
Coutrot_db1/clip21,Coutrot_db1,random_k16_seed2026090907,random,0.4177248775959015,0.9077416062355042,115605504,1015547904,0,16,1015547904
Coutrot_db1/clip21,Coutrot_db1,random_k16_seed2026090908,random,0.4097983241081238,0.8997684717178345,115605504,1015547904,0,16,1015547904
Coutrot_db1/clip21,Coutrot_db1,random_k16_seed2026090909,random,0.42267224192619324,0.9138280153274536,115605504,1015547904,0,16,1015547904
Coutrot_db1/clip21,Coutrot_db1,random_k16_seed2026090910,random,0.41636788845062256,0.9101085662841797,115605504,1015547904,0,16,1015547904
Coutrot_db1/clip21,Coutrot_db1,random_k16_seed2026090911,random,0.4021787643432617,0.8948659896850586,115605504,1015547904,0,16,1015547904
Coutrot_db1/clip21,Coutrot_db1,random_k16_seed2026090912,random,0.41716447472572327,0.9082738161087036,115605504,1015547904,0,16,1015547904
Coutrot_db1/clip21,Coutrot_db1,random_k16_seed2026090913,random,0.3985450267791748,0.8861402273178101,115605504,1015547904,0,16,1015547904
Coutrot_db1/clip21,Coutrot_db1,random_k16_seed2026090914,random,0.41982942819595337,0.908513605594635,115605504,1015547904,0,16,1015547904
Coutrot_db1/clip21,Coutrot_db1,random_k16_seed2026090915,random,0.418409526348114,0.9114433526992798,115605504,1015547904,0,16,1015547904
Coutrot_db1/clip21,Coutrot_db1,policy:human_k16_seed440826,human,0.4404999613761902,0.9312541484832764,115605504,1015547904,0,16,1015547904
Coutrot_db1/clip21,Coutrot_db1,policy:human_k16_seed440827,human,0.4436151683330536,0.9347224235534668,115605504,1015547904,0,16,1015547904
Coutrot_db1/clip21,Coutrot_db1,policy:human_k16_seed440828,human,0.4476330876350403,0.9386571645736694,115605504,1015547904,0,16,1015547904
Coutrot_db1/clip21,Coutrot_db1,policy:human_k16_seed440829,human,0.4386099874973297,0.9290488958358765,115605504,1015547904,0,16,1015547904
Coutrot_db1/clip21,Coutrot_db1,policy:human_k16_seed440830,human,0.4491084814071655,0.9405865669250488,115605504,1015547904,0,16,1015547904
Coutrot_db1/clip21,Coutrot_db1,policy:human_k16_seed440831,human,0.44558465480804443,0.9367560744285583,115605504,1015547904,0,16,1015547904
Coutrot_db1/clip21,Coutrot_db1,policy:pretrained_k16,pretrained,0.4619733393192291,0.9560465812683105,115605504,1015547904,0,16,1015547904
Coutrot_db1/clip21,Coutrot_db1,tome_r5,tome,0.0174003504216671,0.18490640819072723,115605504,7902465024,11016832,136,7913481856
Coutrot_db1/clip21,Coutrot_db1,tome_r10,tome,0.05842461436986923,0.34019747376441956,115605504,6447581184,8091904,76,6455673088
Coutrot_db1/clip21,Coutrot_db1,tome_r15,tome,0.18936380743980408,0.6204408407211304,115605504,5031558144,5976192,16,5037534336
Coutrot_db1/clip21,Coutrot_db1,spatial_block_r15,spatial_block_r15,0.008218061178922653,0.1257065385580063,115605504,8652201984,3354624,196,8655556608
Coutrot_db1/clip36,Coutrot_db1,dense,dense,4.0978193283081055e-08,0.0,115605504,9396209664,0,196,9396209664
Coutrot_db1/clip36,Coutrot_db1,central_k16,central_k16,0.27723923325538635,0.7466695308685303,115605504,1015547904,0,16,1015547904
Coutrot_db1/clip36,Coutrot_db1,random_k16_seed2026090900,random,0.34318679571151733,0.8048205971717834,115605504,1015547904,0,16,1015547904
Coutrot_db1/clip36,Coutrot_db1,random_k16_seed2026090901,random,0.3011385202407837,0.7569735646247864,115605504,1015547904,0,16,1015547904
Coutrot_db1/clip36,Coutrot_db1,random_k16_seed2026090902,random,0.3138268291950226,0.7698011994361877,115605504,1015547904,0,16,1015547904
Coutrot_db1/clip36,Coutrot_db1,random_k16_seed2026090903,random,0.3392418920993805,0.7994182109832764,115605504,1015547904,0,16,1015547904
