arm,block,attention_tokens,mlp_tokens,final_patch_tokens,restored_patches_after_each_block
policy:human_k16_seed440831,1,21,21,16,
policy:human_k16_seed440831,2,21,21,16,
policy:human_k16_seed440831,3,21,21,16,
policy:human_k16_seed440831,4,21,21,16,
policy:human_k16_seed440831,5,21,21,16,
policy:human_k16_seed440831,6,21,21,16,
policy:human_k16_seed440831,7,21,21,16,
policy:human_k16_seed440831,8,21,21,16,
policy:human_k16_seed440831,9,21,21,16,
policy:human_k16_seed440831,10,21,21,16,
policy:human_k16_seed440831,11,21,21,16,
policy:pretrained_k16,0,21,21,16,
policy:pretrained_k16,1,21,21,16,
policy:pretrained_k16,2,21,21,16,
policy:pretrained_k16,3,21,21,16,
policy:pretrained_k16,4,21,21,16,
policy:pretrained_k16,5,21,21,16,
policy:pretrained_k16,6,21,21,16,
policy:pretrained_k16,7,21,21,16,
policy:pretrained_k16,8,21,21,16,
policy:pretrained_k16,9,21,21,16,
policy:pretrained_k16,10,21,21,16,
policy:pretrained_k16,11,21,21,16,
tome_r5,0,201,196,136,
tome_r5,1,196,191,136,
tome_r5,2,191,186,136,
tome_r5,3,186,181,136,
tome_r5,4,181,176,136,
tome_r5,5,176,171,136,
tome_r5,6,171,166,136,
tome_r5,7,166,161,136,
tome_r5,8,161,156,136,
tome_r5,9,156,151,136,
tome_r5,10,151,146,136,
tome_r5,11,146,141,136,
tome_r10,0,201,191,76,
tome_r10,1,191,181,76,
tome_r10,2,181,171,76,
tome_r10,3,171,161,76,
tome_r10,4,161,151,76,
tome_r10,5,151,141,76,
tome_r10,6,141,131,76,
tome_r10,7,131,121,76,
tome_r10,8,121,111,76,
tome_r10,9,111,101,76,
tome_r10,10,101,91,76,
tome_r10,11,91,81,76,
tome_r15,0,201,186,16,
tome_r15,1,186,171,16,
tome_r15,2,171,156,16,
tome_r15,3,156,141,16,
tome_r15,4,141,126,16,
tome_r15,5,126,111,16,
tome_r15,6,111,96,16,
tome_r15,7,96,81,16,
tome_r15,8,81,66,16,
tome_r15,9,66,51,16,
