JobID|JobIDRaw|JobName|State|ExitCode|Submit|Start|End|ElapsedRaw|NodeList|ReqMem|ReqCPUS|ReqTRES|AllocTRES|MaxRSS
1690935_4.batch|1700556.batch|batch|CANCELLED|0:15|2026-09-13T10:28:16|2026-09-13T10:28:16|2026-09-13T15:36:35|18499|node17||5||cpu=5,gres/gpu:a40=1,gres/gpu=1,mem=128G,node=1|106024168K
1690935_4.extern|1700556.extern|extern|COMPLETED|0:0|2026-09-13T10:28:16|2026-09-13T10:28:16|2026-09-13T15:36:35|18499|node17||5||billing=5,cpu=5,gres/gpu:a40=1,gres/gpu=1,mem=128G,node=1|
1690935_5|1690935|gaze-r2f-hlvid|PREEMPTED|0:0|2026-09-12T13:30:44|2026-09-13T12:05:27|2026-09-13T16:08:59|14612|node17|128G|5|billing=5,cpu=5,gres/gpu:a40=1,gres/gpu=1,mem=128G,node=1|billing=5,cpu=5,gres/gpu:a40=1,gres/gpu=1,mem=128G,node=1|
1690935_5.batch|1690935.batch|batch|CANCELLED|0:15|2026-09-13T12:05:27|2026-09-13T12:05:27|2026-09-13T16:09:00|14613|node17||5||cpu=5,gres/gpu:a40=1,gres/gpu=1,mem=128G,node=1|104698320K
1690935_5.extern|1690935.extern|extern|COMPLETED|0:0|2026-09-13T12:05:27|2026-09-13T12:05:27|2026-09-13T16:09:00|14613|node17||5||billing=5,cpu=5,gres/gpu:a40=1,gres/gpu=1,mem=128G,node=1|
1690935_4|1700556|gaze-r2f-hlvid|PREEMPTED|0:0|2026-09-13T15:36:51|2026-09-13T17:23:27|2026-09-13T20:08:17|9890|node17|128G|5|billing=5,cpu=5,gres/gpu:a40=1,gres/gpu=1,mem=128G,node=1|billing=5,cpu=5,gres/gpu:a40=1,gres/gpu=1,mem=128G,node=1|
1690935_4.batch|1700556.batch|batch|CANCELLED|0:15|2026-09-13T17:23:27|2026-09-13T17:23:27|2026-09-13T20:08:18|9891|node17||5||cpu=5,gres/gpu:a40=1,gres/gpu=1,mem=128G,node=1|95343752K
1690935_4.extern|1700556.extern|extern|COMPLETED|0:0|2026-09-13T17:23:27|2026-09-13T17:23:27|2026-09-13T20:08:18|9891|node17||5||billing=5,cpu=5,gres/gpu:a40=1,gres/gpu=1,mem=128G,node=1|
1690935_5|1690935|gaze-r2f-hlvid|COMPLETED|0:0|2026-09-13T16:09:16|2026-09-13T17:28:20|2026-09-13T19:04:33|5773|node17|128G|5|billing=5,cpu=5,gres/gpu:a40=1,gres/gpu=1,mem=128G,node=1|billing=5,cpu=5,gres/gpu:a40=1,gres/gpu=1,mem=128G,node=1|
1690935_5.batch|1690935.batch|batch|COMPLETED|0:0|2026-09-13T17:28:20|2026-09-13T17:28:20|2026-09-13T19:04:33|5773|node17||5||cpu=5,gres/gpu:a40=1,gres/gpu=1,mem=128G,node=1|94082492K
1690935_5.extern|1690935.extern|extern|COMPLETED|0:0|2026-09-13T17:28:20|2026-09-13T17:28:20|2026-09-13T19:04:33|5773|node17||5||billing=5,cpu=5,gres/gpu:a40=1,gres/gpu=1,mem=128G,node=1|
1690935_4|1700556|gaze-r2f-hlvid|COMPLETED|0:0|2026-09-13T20:08:34|2026-09-13T22:18:50|2026-09-13T22:26:35|465|node17|128G|5|billing=5,cpu=5,gres/gpu:a40=1,gres/gpu=1,mem=128G,node=1|billing=5,cpu=5,gres/gpu:a40=1,gres/gpu=1,mem=128G,node=1|
1690935_4.batch|1700556.batch|batch|COMPLETED|0:0|2026-09-13T22:18:50|2026-09-13T22:18:50|2026-09-13T22:26:35|465|node17||5||cpu=5,gres/gpu:a40=1,gres/gpu=1,mem=128G,node=1|95197420K
1690935_4.extern|1700556.extern|extern|COMPLETED|0:0|2026-09-13T22:18:50|2026-09-13T22:18:50|2026-09-13T22:26:35|465|node17||5||billing=5,cpu=5,gres/gpu:a40=1,gres/gpu=1,mem=128G,node=1|
